SPMNKEY,AccNum,SPECID,forma,LatinName,Herb,Collectors,Coll. #,Day,Month,Yr,TEXTDATE,Habitat,Abundance,County,Prov_State,Country,Locality,NB,SOURCE,LOAN,UTMZ,UTME,UTMN,LATDEG,LATMIN,LATSEC,LATDIR,LONGDEG,LONGMIN,LONGSEC,LONGDIR,Projection,Prec.,Grid Ref.,GeoRefBy,Phenology,Collection id,DetAnnList,Notes,Creation Date,Modification Date,Comments,Databaser,Access#Form,Coll#Form,DateForm,Co.Form,utmform,Det BY,Nform,Wform,HabitatForm,LocalForm,NotesForm,CheckDuplicates,LatDec,LatForm,LongDec,LongForm,FormaForm,AbunForm,RareLoc,Rare Lat,Rare Long,Include,CheckFind,Labeled,Correct SpmNumb,SPMNKEYold,DETERMINER,Digital Lat,Digital Long,latinForm,count,specimen count,DigitalLatFORM,DigitalLongFORM
29267,24311,,,,UNB,"Hagmeier, E.O.",,8,6,1959,,roadside,,York,New Brunswick,Canada,Douglas,,,,,,,,,,,,,,,,,,,Specimen has Flowers or Flower Buds,,,,2003-11-19,2015-07-08,To be identified,,   Accession # 24311,,,York Co.,,,,,Habitat:  roadside. ,Locality:  Douglas. ,,Duplicate,,,,,,,Douglas,,,,,,,,,,,,56985,56985,,
7825,24481,,prionosepala,,UNB,"Heinstein, K.",,22,6,1965,,"grassy middle of old woods road, surrounded by sugar maple forest",,York,New Brunswick,Canada,"3 mi. NE of Millville, approx. 1 mi. E of Taffy Lake.",,,,,,,,,,,,,,,,,,,Specimen has Flowers or Flower Buds,,,,2007-01-10,2015-07-08,To be identified,Margaret,   Accession # 24481,,,York Co.,,,,,"Habitat:  grassy middle of old woods road, surrounded by sugar maple forest. ","Locality:  3 mi. NE of Millville, approx. 1 mi. E of Taffy Lake.. ",,Duplicate,,,,, f. prionosepala,,"3 mi. NE of Millville, approx. 1 mi. E of Taffy Lake.",,,,,,,7825,,,,,56985,56985,,
79298,25694,,,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-16,2016-03-16,,Admin,   Accession # 25694,,00/00/00,,,,,,,,,Duplicate,,,,,,,,,,,,,,79298,,,,,56985,56985,,
51143,27160,,,,UNB,"Connell, K.M.",6-8,31,5,1972,,Rich soil.,,Carleton,New Brunswick,Canada,Along streams or in lowlands.,,,,,,,,,,,,,,,,,,,Specimen has Fruit,,,,2007-02-20,2015-07-08,To be identified,Margaret,   Accession # 27160,Collector's # 6-8,31/5/1972/,Carleton Co.,,,,,Habitat:  Rich soil.. ,Locality:  Along streams or in lowlands.. ,,Duplicate,,,,,,,Along streams or in lowlands.,,,,,,,,,,,,56985,56985,,
79251,345,,,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-02,2016-03-02,,Admin,   Accession # 345,,00/00/00,,,,,,,,,Duplicate,,,,,,,,,,,,,,79251,,,,,56985,56985,,
38052,35290,,,,UNB,"Hinds, H.R.",3976,6,10,1980,,planting area,,Sunbury,New Brunswick,Canada,"near Superintendenents' residence at the Agriculture Experiment Farm, Lincoln",,,,,,,45,55,,N,66,33,,W,,,,,,,,,2004-07-05,2015-07-08,To be identified,,   Accession # 35290,Collector's # 3976,,Sunbury Co.,,,N,W,Habitat:  planting area. ,"Locality:  near Superintendenents' residence at the Agriculture Experiment Farm, Lincoln. ",,Duplicate,45.9167,45.9167º N ,66.55,66.55º W,,,"near Superintendenents' residence at the Agriculture Experiment Farm, Lincoln",45.9167,66.55,,,,,,,,,,56985,56985,,
66736,40631,3058,,,UNB,"Warner, B.G.",202,1,8,1982,,"Picnic site, in sphagnum muskeg wit stunted Pinus cortorta Loudon and Tsuga heterophylla (Raf.) Sarg.",,,British Coloumbia,Canada,"Pure Lake, Graham Island, Queen Charlotte Islands",,,,,,,53,51,58,N,132,4,52,W,,4,,Collector,Specimen is reproductive,,,,2011-10-17,2012-04-05,,shortt,   Accession # 40631,Collector's # 202,1/8/1982/,,,,N,W,"Habitat:  Picnic site, in sphagnum muskeg wit stunted Pinus cortorta Loudon and Tsuga heterophylla (Raf.) Sarg.. ","Locality:  Pure Lake, Graham Island, Queen Charlotte Islands. ",,Unique,53.8661,53.8661º N ,132.0811,132.0811º W,,,"Pure Lake, Graham Island, Queen Charlotte Islands",53.8661,132.0811,,,,,66736,,,,,56985,56985,,
67501,42328,1985,,,UNB,"McVaugh, R. ",12604,15,8,1951,,Dunes,Abundant,Leelanau,Mishigan,Canada,"Good Harbor BAy, Sect. 3, 7.5 miles SW of Leland",,,,,,,,,,,,,,,,4,,Databaser,Specimen is reproductive,,,,2011-11-24,2012-04-05,,shortt,   Accession # 42328,Collector's # 12604,15/8/1951/,Leelanau Co.,,,,,Habitat:  Dunes. ,"Locality:  Good Harbor BAy, Sect. 3, 7.5 miles SW of Leland. ",,Unique,,,,,,Abund.:  Abundant. ,"Good Harbor BAy, Sect. 3, 7.5 miles SW of Leland",,,,,,,67501,,45.0233,-85.7597,,56985,56985,45.0233º N ,-85.7597º W 
71857,45260,,,,UNB,"Turner, R.",,5,8,1987,,Open jack pine,,,Northwest Territories,Canada,"Tsu Lake, RRTP camp on penninsula S end of Lake",,,,,,,60,38,,N,111,52,,W,,4,,Collector,Specimen has fruit,,,,2012-09-19,2012-09-19,,shortt,   Accession # 45260,,5/8/1987/,,,,N,W,Habitat:  Open jack pine. ,"Locality:  Tsu Lake, RRTP camp on penninsula S end of Lake. ",,Duplicate,60.6333,60.6333º N ,111.8667,111.8667º W,,,"Tsu Lake, RRTP camp on penninsula S end of Lake",60.6333,111.8667,,,,,71857,,,,,56985,56985,,
73343,46145,,,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-02,2013-04-02,,Admin,   Accession # 46145,,00/00/00,,,,,,,,,Duplicate,,,,,,,,,,,,,,73343,,,,,56985,56985,,
