5353,55920,,,Hieracium,UNB,"Blaney, C.S.",2997,11,7,2000,,rocky mesic rivershore,abundant ,Sunbury,New Brunswick,Canada,"Little River, NB approximately 3.5 km N of Albrights Corner (intersection of Highways 10 and 670)",,,,19,715469,5104455,46.059709,,,N,66.214289,,,W,,1,21 J/01,Collector,,,,Abundance: abundant.  ,2001-03-12,2015-11-25,To be identified,,   Accession # 55920,Collector's # 2997,,Sunbury Co.,UTM 19 715469 5104455,,N,W,Habitat:  rocky mesic rivershore. ,"Locality:  Little River, NB approximately 3.5 km N of Albrights Corner (intersection of Highways 10 and 670). ",Notes:  Abundance: abundant.  .,Duplicate,46.0597,46.0597º N ,66.2143,66.2143º W,,Abund.:  abundant . ,"Little River, NB approximately 3.5 km N of Albrights Corner (intersection of Highways 10 and 670)",46.0597,66.2143,,,,,,,,,Hieracium,56985,56985,,
5632,55916,,,Amelanchier,UNB,"Blaney, C.S.",1977,7,8,1999,,small outcrop at river shore,,Restigouche,New Brunswick,Canada,Kedgwick River Kedgwick River; 2.4 km SE of mouth of Clearwater Brook,,,,19,602817,5286726,47.72572,,,N,67.628914,,,W,,2,21 O/12,Collector,,,,,2001-03-12,2015-11-25,To be identified,,   Accession # 55916,Collector's # 1977,,Restigouche Co.,UTM 19 602817 5286726,,N,W,Habitat:  small outcrop at river shore. ,Locality:  Kedgwick River Kedgwick River; 2.4 km SE of mouth of Clearwater Brook. ,,Duplicate,47.7257,47.7257º N ,67.6289,67.6289º W,,,Kedgwick River Kedgwick River; 2.4 km SE of mouth of Clearwater Brook,47.7257,67.6289,,,,,,,,,Amelanchier,56985,56985,,
29267,24311,,,,UNB,"Hagmeier, E.O.",,8,6,1959,,roadside,,York,New Brunswick,Canada,Douglas,,,,,,,,,,,,,,,,,,,Specimen has Flowers or Flower Buds,,,,2003-11-19,2015-07-08,To be identified,,   Accession # 24311,,,York Co.,,,,,Habitat:  roadside. ,Locality:  Douglas. ,,Duplicate,,,,,,,Douglas,,,,,,,,,,,,56985,56985,,
37266,5070,,,,UNB,Hagmeier,,7,8,1958,,,,York,New Brunswick,Canada,"UNB Campus, Fredericton",,,,,,,45.9459,,,N,66.6402,,,W,,3,21 G/15,UNB,,,,,2004-06-10,2015-07-08,To be identified,,   Accession # 5070,,,York Co.,,,N,W,,"Locality:  UNB Campus, Fredericton. ",,Duplicate,45.9459,45.9459º N ,66.6402,66.6402º W,,,"UNB Campus, Fredericton",45.9459,66.6402,,,,,,,,,,56985,56985,,
38052,35290,,,,UNB,"Hinds, H.R.",3976,6,10,1980,,planting area,,Sunbury,New Brunswick,Canada,"near Superintendenents' residence at the Agriculture Experiment Farm, Lincoln",,,,,,,45,55,,N,66,33,,W,,,,,,,,,2004-07-05,2015-07-08,To be identified,,   Accession # 35290,Collector's # 3976,,Sunbury Co.,,,N,W,Habitat:  planting area. ,"Locality:  near Superintendenents' residence at the Agriculture Experiment Farm, Lincoln. ",,Duplicate,45.9167,45.9167º N ,66.55,66.55º W,,,"near Superintendenents' residence at the Agriculture Experiment Farm, Lincoln",45.9167,66.55,,,,,,,,,,56985,56985,,
41800,57362,,,Amelanchier sp.,UNB,"Bishop, G.; Dietz, S.; Papoulias, M.; Arnold, M.",160 GLM,16,8,2004,,Silver maple floodplain ,Uncommon,Queens,New Brunswick,Canada,"St. John River edge, near Jemseg, Grand Lake Meadows",,,,,,,45,49,22.9,N,66,8,21.3,W,,,,Collector,Specimen has neither Fruit nor Flowers,,,,2006-03-24,2015-07-08,To be identified,,   Accession # 57362,Collector's # 160 GLM,,Queens Co.,,"Det.   M. Papoulias, G. Bishop",N,W,Habitat:  Silver maple floodplain . ,"Locality:  St. John River edge, near Jemseg, Grand Lake Meadows. ",,Duplicate,45.823,45.823º N ,66.1393,66.1393º W,,Abund.:  Uncommon. ,"St. John River edge, near Jemseg, Grand Lake Meadows",45.823,66.1393,,,,,,"M. Papoulias, G. Bishop",,,Amelanchier sp.,56985,56985,,
41823,58514,,,Isoetes sp.,UNB,"Bishop, G.; Dietz, S.; Papoulias, M.; Arnold, M.",183 GLM,17,8,2004,,In water,Rare,Queens,New Brunswick,Canada,"Jemseg River, Grand Lake Meadows",,,,,,,45,50,21.8,N,66,7,58.1,W,,,,Collector,,,,,2006-03-24,2015-07-08,To be identified,,   Accession # 58514,Collector's # 183 GLM,,Queens Co.,,Det.   M. Papoulias,N,W,Habitat:  In water. ,"Locality:  Jemseg River, Grand Lake Meadows. ",,Duplicate,45.8394,45.8394º N ,66.1328,66.1328º W,,Abund.:  Rare. ,"Jemseg River, Grand Lake Meadows",45.8394,66.1328,,,,,,M. Papoulias,,,Isoetes sp.,56985,56985,,
41897,57341,,,Isoetes spp.,UNB,"Bishop, G.",269 GLM,25,8,2004,,"Margins of Grand Lake, in shallow water, with I. lacustris",,Queens,New Brunswick,Canada,"Grand Lake, Grand Lake Meadows",,,,,,,45,50,33.4,N,66,9,14.4,W,,,,Collector,,,,,2006-03-24,2015-07-08,To be identified,,   Accession # 57341,Collector's # 269 GLM,,Queens Co.,,Det.   G. Bishop,N,W,"Habitat:  Margins of Grand Lake, in shallow water, with I. lacustris. ","Locality:  Grand Lake, Grand Lake Meadows. ",,Duplicate,45.8426,45.8426º N ,66.154,66.154º W,,,"Grand Lake, Grand Lake Meadows",45.8426,66.154,,,,,,G. Bishop,,,Isoetes spp.,56985,56985,,
7825,24481,,prionosepala,,UNB,"Heinstein, K.",,22,6,1965,,"grassy middle of old woods road, surrounded by sugar maple forest",,York,New Brunswick,Canada,"3 mi. NE of Millville, approx. 1 mi. E of Taffy Lake.",,,,,,,,,,,,,,,,,,,Specimen has Flowers or Flower Buds,,,,2007-01-10,2015-07-08,To be identified,Margaret,   Accession # 24481,,,York Co.,,,,,"Habitat:  grassy middle of old woods road, surrounded by sugar maple forest. ","Locality:  3 mi. NE of Millville, approx. 1 mi. E of Taffy Lake.. ",,Duplicate,,,,, f. prionosepala,,"3 mi. NE of Millville, approx. 1 mi. E of Taffy Lake.",,,,,,,7825,,,,,56985,56985,,
51143,27160,,,,UNB,"Connell, K.M.",6-8,31,5,1972,,Rich soil.,,Carleton,New Brunswick,Canada,Along streams or in lowlands.,,,,,,,,,,,,,,,,,,,Specimen has Fruit,,,,2007-02-20,2015-07-08,To be identified,Margaret,   Accession # 27160,Collector's # 6-8,31/5/1972/,Carleton Co.,,,,,Habitat:  Rich soil.. ,Locality:  Along streams or in lowlands.. ,,Duplicate,,,,,,,Along streams or in lowlands.,,,,,,,,,,,,56985,56985,,
